Name,Status,Price,Stars,Ratings,URL,UPC
ASRock RADEON RX 5700 XT CHALLENGER D 8G,Pre-Owned,"$1,519.28",0,0,https://www.ebay.com/itm/194505115806?hash=item2d4968889e:g:jU8AAOSw2SZhSXoh,
XFX AMD Radeon RX 5700 XT Raw II 8GB GDDR6 Graphics Gaming Card (RX57XT8OFFR),Pre-Owned,"$1,899.99",4.5,0,https://www.ebay.com/itm/234016272756?epid=20035801227&hash=item367c74f174:g:hVkAAOSwhqBgpbnb,
Radeon AMD Sapphire Pulse RX 5700 -  EMPTY BOX ONLY NO GPU,Open Box,$75.00,0,0,https://www.ebay.com/itm/274852525933?hash=item3ffe7cb76d:g:tD8AAOSwTtpg3eKa,
GIGABYTE Radeon RX 5700 XT GAMING OC GDDR6 Graphics Card - 8GB,Pre-Owned,"$1,500.00",4.5,0,https://www.ebay.com/itm/174784153180?epid=4036079691&hash=item28b1f2865c:g:GJYAAOSww4tgsGQZ,
HP ProLiant ML110 G5 COMPAQ dc5100 dc5700 DELL Dimension 3100 E310 Video Card 1G,Brand New,$99.99,0,0,https://www.ebay.com/itm/162105791891?hash=item25be421593:g:OW4AAOSwOVpXYelR,
graphics card Expert-Oriented Rd-Rx5700Xt-E8Gb/Df Video Card,Pre-Owned,"$1,354.50",0,0,https://www.ebay.com/itm/133933609754?hash=item1f2f10b31a:g:gGUAAOSwXtthj9Ya,
AMD MSI Radeon RX 5700 Evoke 8gb OC BOX ONLY NO GPU,Pre-Owned,$27.00,Pre,0,https://www.ebay.com/itm/324785223234?hash=item4b9eb53642:g:BN0AAOSwr6xg70bn,
SALE PowerColor Red Dragon Radeon RX 5700 with XT vbios 8GB GDDR6 READ Gaming,Brand New,"$1,499.99",0,0,https://www.ebay.com/itm/313359363271?epid=2305421109&hash=item48f5ac6cc7:g:orIAAOSwohhhIWT4,
HP COMPAQ dc5100 dc5700 SFF LENOVO ThinkCentre M81 1GB Low Profile Video Card,Brand New,$99.99,0,0,https://www.ebay.com/itm/162483586890?hash=item25d4c6c74a:g:SxEAAOSwA~1bsuo~,
Nvidia GeForce FX5700 Video Graphics Card 128MB APG VGA DVI-I TV ChainTech New,Open Box,$112.99,0,0,https://www.ebay.com/itm/294105028475?hash=item447a06977b:g:bacAAOSw6jhga116,
EVGA GeForce FX 5700 Personal Cinema 256MB 128-Bit DDR AGP 4X/8X Video Card TV,Pre-Owned,$69.95,0,0,https://www.ebay.com/itm/184306763106?hash=item2ae98a0562:g:~PgAAOSwYE9ezY2x,
ATI FirePro V5700 Full height Video Card PCI Express x16 512MB DVI Display Port,Pre-Owned,$17.89,0,0,https://www.ebay.com/itm/224197483211?hash=item3433361acb:g:v2YAAOSwQyBfiiS-,
ASRock Challenger AMD Radeon RX 5700 XT 8GB GDDR6 - Good Used Condition 2-Day,Pre-Owned,"$1,149.99",0,0,https://www.ebay.com/itm/224689470287?hash=item3450893b4f:g:5OMAAOSwnOdhjnbA,
